Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Lab4,Chrome 123.0.0.0,,,27-03-2024 21:26:43,27-03-2024 21:28:50,2m - 7.681s,PASSED
,,,,,,,
Test Cases/check login,Chrome 123.0.0.0,,,27-03-2024 21:26:43,27-03-2024 21:26:50,6.930s,PASSED
"openBrowser("""")",Chrome 123.0.0.0,,,27-03-2024 21:26:43,27-03-2024 21:26:45,1.760s,PASSED
"navigateToUrl(""https://www.saucedemo.com/"")",Chrome 123.0.0.0,,,27-03-2024 21:26:45,27-03-2024 21:26:46,1.037s,PASSED
"setText(findTestObject(""Lab4/input_Swag Labs_user-name""), username)",Chrome 123.0.0.0,,,27-03-2024 21:26:46,27-03-2024 21:26:48,1.885s,PASSED
"setText(findTestObject(""Lab4/input_Swag Labs_password""), pasword)",Chrome 123.0.0.0,,,27-03-2024 21:26:48,27-03-2024 21:26:49,0.650s,PASSED
"click(findTestObject(""Lab4/input_Swag Labs_login-button""))",Chrome 123.0.0.0,,,27-03-2024 21:26:49,27-03-2024 21:26:49,0.332s,PASSED
"verifyTextPresent(excepted, false)",Chrome 123.0.0.0,,,27-03-2024 21:26:49,27-03-2024 21:26:50,0.514s,PASSED
closeBrowser(),Chrome 123.0.0.0,,,27-03-2024 21:26:50,27-03-2024 21:26:50,0.211s,PASSED
,,,,,,,
Test Cases/check login,Chrome 123.0.0.0,,,27-03-2024 21:26:50,27-03-2024 21:26:55,5.506s,PASSED
"openBrowser("""")",Chrome 123.0.0.0,,,27-03-2024 21:26:50,27-03-2024 21:26:51,0.744s,PASSED
"navigateToUrl(""https://www.saucedemo.com/"")",Chrome 123.0.0.0,,,27-03-2024 21:26:51,27-03-2024 21:26:52,1.079s,PASSED
"setText(findTestObject(""Lab4/input_Swag Labs_user-name""), username)",Chrome 123.0.0.0,,,27-03-2024 21:26:52,27-03-2024 21:26:54,2.085s,PASSED
"setText(findTestObject(""Lab4/input_Swag Labs_password""), pasword)",Chrome 123.0.0.0,,,27-03-2024 21:26:54,27-03-2024 21:26:54,0.615s,PASSED
"click(findTestObject(""Lab4/input_Swag Labs_login-button""))",Chrome 123.0.0.0,,,27-03-2024 21:26:54,27-03-2024 21:26:55,0.303s,PASSED
"verifyTextPresent(excepted, false)",Chrome 123.0.0.0,,,27-03-2024 21:26:55,27-03-2024 21:26:55,0.494s,PASSED
closeBrowser(),Chrome 123.0.0.0,,,27-03-2024 21:26:55,27-03-2024 21:26:55,0.159s,PASSED
,,,,,,,
Test Cases/check login,Chrome 123.0.0.0,,,27-03-2024 21:26:55,27-03-2024 21:27:01,5.188s,PASSED
"openBrowser("""")",Chrome 123.0.0.0,,,27-03-2024 21:26:55,27-03-2024 21:26:56,0.628s,PASSED
"navigateToUrl(""https://www.saucedemo.com/"")",Chrome 123.0.0.0,,,27-03-2024 21:26:56,27-03-2024 21:26:57,0.998s,PASSED
"setText(findTestObject(""Lab4/input_Swag Labs_user-name""), username)",Chrome 123.0.0.0,,,27-03-2024 21:26:57,27-03-2024 21:26:59,1.929s,PASSED
"setText(findTestObject(""Lab4/input_Swag Labs_password""), pasword)",Chrome 123.0.0.0,,,27-03-2024 21:26:59,27-03-2024 21:27:00,0.620s,PASSED
"click(findTestObject(""Lab4/input_Swag Labs_login-button""))",Chrome 123.0.0.0,,,27-03-2024 21:27:00,27-03-2024 21:27:00,0.329s,PASSED
"verifyTextPresent(excepted, false)",Chrome 123.0.0.0,,,27-03-2024 21:27:00,27-03-2024 21:27:00,0.507s,PASSED
closeBrowser(),Chrome 123.0.0.0,,,27-03-2024 21:27:00,27-03-2024 21:27:01,0.157s,PASSED
,,,,,,,
Test Cases/check login,Chrome 123.0.0.0,,,27-03-2024 21:27:01,27-03-2024 21:27:35,34.606s,PASSED
"openBrowser("""")",Chrome 123.0.0.0,,,27-03-2024 21:27:01,27-03-2024 21:27:01,0.634s,PASSED
